State/UT,Confirmed,Latitude,Longitude
Maharashtra,8068,19.601194,75.552979
Gujarat,3301,22.309425,72.136230
Delhi,2918,28.7041,77.1025
Rajasthan,2185,27.391277,73.432617
Madhya Pradesh,2090,22.9734,78.6569
Tamil Nadu,1885,11.127123,78.656891
Uttar Pradesh,1873,28.207609,79.826660
Andhra Pradesh,1097,15.9129,79.7400
Telangana,1001,17.874857,78.100815
West Bengal,611,22.978624,87.747803
Jammu and Kashmir,523,33.7782,76.5762
Karnataka,503,15.317277,75.713890
Kerala,469,10.850516,76.271080
Punjab,322,31.1471,75.3412
Haryana,296,29.065773,76.040497
Bihar,277,25.0961,85.3131
Odisha,103,20.940920,84.803467
Jharkhand,82,23.6102,85.2799
Uttarakhand,51,30.0668,79.0193
Himachal Pradesh,40,32.084206,77.571167
Chhattisgarh,37,21.295132,81.828232
Assam,36,26.244156,92.537842
Chandigarh,36,30.7333,76.7794
Andaman and Nicobar Islands,33,11.7401,92.6586
Ladakh,20,34.209515,77.615112
Meghalaya,12,25.4670,91.3662
Puducherry,8,11.9416,79.8083
Goa,7,15.2993,74.1240
Manipur,2,24.6637,93.9063
Tripura,2,23.745127,91.746826
Arunachal Pradesh,1,28.2180,94.7278
Mizoram,1,23.1645,92.9376
